date,ftraffic,ltr,rtl,dow,month,s_holid,p_holid,br_mo,br_fr,bweek,fest
2020-09-06,8882.0,,,Sunday,September,1,0,0,0,0,0
2020-09-07,33906.0,,,Monday,September,1,0,0,0,0,0
2020-09-08,30654.0,,,Tuesday,September,0,0,0,0,0,0
2020-09-09,28897.0,,,Wednesday,September,0,0,0,0,0,0
2020-09-10,27607.0,,,Thursday,September,0,0,0,0,0,0
2020-09-11,29996.0,,,Friday,September,0,0,0,0,0,0
2020-09-12,37562.0,,,Saturday,September,0,0,0,0,0,0
2020-09-13,7526.0,,,Sunday,September,0,0,0,0,0,0
2020-09-14,22805.0,,,Monday,September,0,0,0,0,0,0
2020-09-15,22064.0,,,Tuesday,September,0,0,0,0,0,0
2020-09-16,21912.0,,,Wednesday,September,0,0,0,0,0,0
2020-09-17,22628.0,,,Thursday,September,0,0,0,0,0,0
2020-09-18,25302.0,,,Friday,September,0,0,0,0,0,0
2020-09-19,30700.0,,,Saturday,September,0,0,0,0,0,0
2020-09-20,6875.0,,,Sunday,September,0,0,0,0,0,0
2020-09-21,22175.0,,,Monday,September,0,0,0,0,0,0
2020-09-22,21911.0,,,Tuesday,September,0,0,0,0,0,0
2020-09-23,21543.0,,,Wednesday,September,0,0,0,0,0,0
2020-09-24,22896.0,,,Thursday,September,0,0,0,0,0,0
2020-09-25,25256.0,,,Friday,September,0,0,0,0,0,0
2020-09-26,24753.0,,,Saturday,September,0,0,0,0,0,0
2020-09-27,6496.0,,,Sunday,September,0,0,0,0,0,0
2020-09-28,25529.0,,,Monday,September,0,0,0,0,0,0
2020-09-29,23656.0,,,Tuesday,September,0,0,0,0,0,0
2020-09-30,26331.0,,,Wednesday,September,0,0,0,0,0,0
2020-10-01,26542.0,,,Thursday,October,0,0,0,0,0,0
2020-10-02,31559.0,,,Friday,October,0,0,0,0,0,0
2020-10-03,9234.0,,,Saturday,October,0,1,0,0,0,0
2020-10-04,8541.0,,,Sunday,October,0,0,0,0,0,0
2020-10-05,26097.0,,,Monday,October,0,0,0,0,0,0
2020-10-06,24085.0,,,Tuesday,October,0,0,0,0,0,0
2020-10-07,24783.0,,,Wednesday,October,0,0,0,0,0,0
2020-10-08,26977.0,,,Thursday,October,0,0,0,0,0,0
2020-10-09,28511.0,,,Friday,October,0,0,0,0,0,0
2020-10-10,43250.0,,,Saturday,October,0,0,0,0,0,0
2020-10-11,7721.0,,,Sunday,October,0,0,0,0,0,0
2020-10-12,23144.0,,,Monday,October,0,0,0,0,0,0
2020-10-13,25973.0,,,Tuesday,October,0,0,0,0,0,0
2020-10-14,19021.0,,,Wednesday,October,0,0,0,0,0,0
2020-10-15,25628.0,,,Thursday,October,0,0,0,0,0,0
2020-10-16,29381.0,,,Friday,October,0,0,0,0,0,0
2020-10-17,39386.0,,,Saturday,October,0,0,0,0,0,0
2020-10-18,6820.0,,,Sunday,October,0,0,0,0,0,0
2020-10-19,24162.0,,,Monday,October,0,0,0,0,0,0
2020-10-20,22369.0,,,Tuesday,October,0,0,0,0,0,0
2020-10-21,21791.0,,,Wednesday,October,0,0,0,0,0,0
2020-10-22,22506.0,,,Thursday,October,0,0,0,0,0,0
2020-10-23,22512.0,,,Friday,October,0,0,0,0,0,0
2020-10-24,33619.0,,,Saturday,October,0,0,0,0,0,0
2020-10-25,6944.0,,,Sunday,October,0,0,0,0,0,0
2020-10-26,17679.0,,,Monday,October,0,0,0,0,0,0
2020-10-27,23030.0,,,Tuesday,October,0,0,0,0,0,0
2020-10-28,22045.0,,,Wednesday,October,0,0,0,0,0,0
2020-10-29,21815.0,,,Thursday,October,0,0,0,0,0,0
2020-10-30,27870.0,,,Friday,October,0,0,0,0,0,0
2020-10-31,34633.0,,,Saturday,October,1,0,0,0,0,0
2020-11-01,6157.0,,,Sunday,November,1,1,0,0,0,0
2020-11-02,22584.0,,,Monday,November,1,0,0,0,0,0
2020-11-03,21931.0,,,Tuesday,November,1,0,0,0,0,0
2020-11-04,22626.0,,,Wednesday,November,1,0,0,0,0,0
2020-11-05,24053.0,,,Thursday,November,1,0,0,0,0,0
2020-11-06,24951.0,,,Friday,November,1,0,0,0,0,0
2020-11-07,28295.0,,,Saturday,November,0,0,0,0,0,0
2020-11-08,5187.0,,,Sunday,November,0,0,0,0,0,0
2020-11-09,20837.0,,,Monday,November,0,0,0,0,0,0
2020-11-10,20644.0,,,Tuesday,November,0,0,0,0,0,0
2020-11-11,20779.0,,,Wednesday,November,0,0,0,0,0,0
2020-11-12,21635.0,,,Thursday,November,0,0,0,0,0,0
2020-11-13,25487.0,,,Friday,November,0,0,0,0,0,0
2020-11-14,32961.0,,,Saturday,November,0,0,0,0,0,0
2020-11-15,5343.0,,,Sunday,November,0,0,0,0,0,0
2020-11-16,20489.0,,,Monday,November,0,0,0,0,0,0
2020-11-17,21820.0,,,Tuesday,November,0,0,0,0,0,0
2020-11-18,24163.0,,,Wednesday,November,1,0,0,0,0,0
2020-11-19,18316.0,,,Thursday,November,0,0,0,0,0,0
2020-11-20,25256.0,,,Friday,November,0,0,0,0,0,0
2020-11-21,32217.0,,,Saturday,November,0,0,0,0,0,0
2020-11-22,4220.0,,,Sunday,November,0,0,0,0,0,0
2020-11-23,22725.0,,,Monday,November,0,0,0,0,1,0
2020-11-24,21780.0,,,Tuesday,November,0,0,0,0,1,0
2020-11-25,22358.0,,,Wednesday,November,0,0,0,0,1,0
2020-11-26,24170.0,,,Thursday,November,0,0,0,0,1,0
2020-11-27,41938.0,,,Friday,November,0,0,0,0,1,0
2020-11-28,39432.0,,,Saturday,November,0,0,0,0,1,0
2020-11-29,5794.0,,,Sunday,November,0,0,0,0,0,0
2020-11-30,26656.0,,,Monday,November,0,0,0,0,0,0
2020-12-01,20692.0,,,Tuesday,December,0,0,0,0,0,0
2020-12-02,24495.0,,,Wednesday,December,0,0,0,0,0,0
2020-12-03,28638.0,,,Thursday,December,0,0,0,0,0,0
2020-12-04,34400.0,,,Friday,December,0,0,0,0,0,0
2020-12-05,43278.0,,,Saturday,December,0,0,0,0,0,0
2020-12-06,5444.0,,,Sunday,December,0,0,0,0,0,0
2020-12-07,30157.0,,,Monday,December,0,0,0,0,0,0
2020-12-08,32350.0,,,Tuesday,December,0,0,0,0,0,0
2020-12-09,25410.0,,,Wednesday,December,0,0,0,0,0,0
2020-12-10,27113.0,,,Thursday,December,0,0,0,0,0,0
2020-12-11,34631.0,,,Friday,December,0,0,0,0,0,0
2020-12-12,42730.0,,,Saturday,December,0,0,0,0,0,0
2020-12-13,4628.0,,,Sunday,December,0,0,0,0,0,0
2020-12-14,40903.0,,,Monday,December,0,0,0,0,0,0
2020-12-15,37218.0,,,Tuesday,December,0,0,0,0,0,0
2020-12-16,8374.0,,,Wednesday,December,0,0,0,0,0,0
2020-12-17,9126.0,,,Thursday,December,0,0,0,0,0,0
2020-12-18,8886.0,,,Friday,December,0,0,0,0,0,0
2020-12-19,7621.0,,,Saturday,December,0,0,0,0,0,0
2020-12-20,2648.0,,,Sunday,December,0,0,0,0,0,0
2020-12-21,10355.0,,,Monday,December,0,0,0,0,0,0
2020-12-22,10079.0,,,Tuesday,December,0,0,0,0,0,0
2020-12-23,6721.0,,,Wednesday,December,1,0,0,0,0,0
2020-12-24,2984.0,,,Thursday,December,1,0,0,0,0,0
2020-12-25,1701.0,,,Friday,December,1,1,0,0,0,0
2020-12-26,2231.0,,,Saturday,December,1,1,0,0,0,0
2020-12-27,2583.0,,,Sunday,December,1,0,0,0,0,0
2020-12-28,8192.0,,,Monday,December,1,0,0,0,0,0
2020-12-29,8462.0,,,Tuesday,December,1,0,0,0,0,0
2020-12-30,9250.0,,,Wednesday,December,1,0,0,0,0,0
2020-12-31,4984.0,,,Thursday,December,1,0,0,0,0,0
2021-01-01,2263.0,,,Friday,January,1,1,0,0,0,0
2021-01-02,8013.0,,,Saturday,January,1,0,0,0,0,0
2021-01-03,2171.0,,,Sunday,January,1,0,0,0,0,0
2021-01-04,9382.0,,,Monday,January,1,0,0,0,0,0
2021-01-05,8809.0,,,Tuesday,January,1,0,0,0,0,0
2021-01-06,2831.0,,,Wednesday,January,1,1,0,0,0,0
2021-01-07,9470.0,,,Thursday,January,1,0,0,0,0,0
2021-01-08,8361.0,,,Friday,January,1,0,0,0,0,0
2021-01-09,7910.0,,,Saturday,January,1,0,0,0,0,0
2021-01-10,3144.0,,,Sunday,January,0,0,0,0,0,0
2021-01-11,9430.0,,,Monday,January,0,0,0,0,0,0
2021-01-12,7357.0,,,Tuesday,January,0,0,0,0,0,0
2021-01-13,9062.0,,,Wednesday,January,0,0,0,0,0,0
2021-01-14,9677.0,,,Thursday,January,0,0,0,0,0,0
2021-01-15,9286.0,,,Friday,January,0,0,0,0,0,0
2021-01-16,8277.0,,,Saturday,January,0,0,0,0,0,0
2021-01-17,2347.0,,,Sunday,January,0,0,0,0,0,0
2021-01-18,9082.0,,,Monday,January,0,0,0,0,0,0
2021-01-19,7108.0,,,Tuesday,January,0,0,0,0,0,0
2021-01-20,9235.0,,,Wednesday,January,0,0,0,0,0,0
2021-01-21,9296.0,,,Thursday,January,0,0,0,0,0,0
2021-01-22,8128.0,,,Friday,January,0,0,0,0,0,0
2021-01-23,8768.0,,,Saturday,January,0,0,0,0,0,0
2021-01-24,2152.0,,,Sunday,January,0,0,0,0,0,0
2021-01-25,8241.0,,,Monday,January,0,0,0,0,0,0
2021-01-26,7687.0,,,Tuesday,January,0,0,0,0,0,0
2021-01-27,6593.0,,,Wednesday,January,0,0,0,0,0,0
2021-01-28,3080.0,,,Thursday,January,0,0,0,0,0,0
2021-01-29,5553.0,,,Friday,January,0,0,0,0,0,0
2021-01-30,3693.0,,,Saturday,January,0,0,0,0,0,0
2021-01-31,2147.0,,,Sunday,January,0,0,0,0,0,0
2021-02-01,5316.0,,,Monday,February,0,0,0,0,0,0
2021-02-02,6101.0,,,Tuesday,February,0,0,0,0,0,0
2021-02-03,4216.0,,,Wednesday,February,0,0,0,0,0,0
2021-02-04,7613.0,,,Thursday,February,0,0,0,0,0,0
2021-02-05,5127.0,,,Friday,February,0,0,0,0,0,0
2021-02-06,5006.0,,,Saturday,February,0,0,0,0,0,0
2021-02-07,1766.0,,,Sunday,February,0,0,0,0,0,0
2021-02-08,4708.0,,,Monday,February,0,0,0,0,0,0
2021-02-09,4655.0,,,Tuesday,February,0,0,0,0,0,0
2021-02-10,4400.0,,,Wednesday,February,0,0,0,0,0,0
2021-02-11,5401.0,,,Thursday,February,0,0,0,0,0,0
2021-02-12,6185.0,,,Friday,February,0,0,0,0,0,0
2021-02-13,6273.0,,,Saturday,February,0,0,0,0,0,0
2021-02-14,2263.0,,,Sunday,February,0,0,0,0,0,0
2021-02-15,5756.0,,,Monday,February,0,0,0,0,0,0
2021-02-16,6335.0,,,Tuesday,February,0,0,0,0,0,0
2021-02-17,6855.0,,,Wednesday,February,0,0,0,0,0,0
2021-02-18,7163.0,,,Thursday,February,0,0,0,0,0,0
2021-02-19,8024.0,,,Friday,February,0,0,0,0,0,0
